Window,Midpoint,Pi,Theta,S
68933-69744,69344,0.00588,0.0066,11
68983-69794,69394,0.00588,0.0066,11
69033-69844,69444,0.00538,0.006,10
69088-69894,69494,0.00538,0.006,10
69138-69944,69544,0.00538,0.006,10
69188-69995,69594,0.00588,0.0066,11
69245-70045,69644,0.00688,0.0078,13
69295-70096,69694,0.01088,0.0108,18
69345-70146,69744,0.01138,0.0114,19
69395-70196,69794,0.01088,0.0108,18
69445-70246,69844,0.0095,0.0096,16
69495-70296,69894,0.0095,0.0096,16
69545-70346,69944,0.0105,0.0108,18
69595-70396,69995,0.0105,0.0108,18
69645-70446,70045,0.0115,0.012,20
69695-70496,70096,0.0115,0.012,20
69745-70546,70146,0.0115,0.012,20
69795-70596,70196,0.011,0.0114,19
69845-70646,70246,0.0115,0.012,20
69895-70696,70296,0.012,0.0126,21
69945-70752,70346,0.012,0.0126,21
69996-70803,70396,0.012,0.0126,21
70046-70853,70446,0.011,0.0114,19
70097-70903,70496,0.007,0.0084,14
70147-70953,70546,0.0065,0.0078,13
70197-71003,70596,0.006,0.0072,12
70247-71054,70646,0.0055,0.0066,11
70297-71106,70696,0.005,0.006,10
70347-71156,70752,0.004,0.0048,8
70397-71206,70803,0.005,0.006,10
70447-71256,70853,0.0045,0.0054,9
70497-71306,70903,0.005,0.006,10
70547-71356,70953,0.005,0.006,10
70597-71406,71003,0.005,0.006,10
70647-71456,71054,0.005,0.006,10
70697-71506,71106,0.0045,0.0054,9
70753-71556,71156,0.0045,0.0054,9
70804-71608,71206,0.004,0.0048,8
70854-71658,71256,0.0045,0.0054,9
70904-71708,71306,0.0045,0.0054,9
70954-71758,71356,0.004,0.0048,8
71004-71808,71406,0.0045,0.0054,9
71055-71858,71456,0.0045,0.0054,9
71107-71908,71506,0.0045,0.0054,9
71157-71958,71556,0.0045,0.0054,9
71207-72008,71608,0.0045,0.0054,9
71257-72064,71658,0.005,0.006,10
71307-72114,71708,0.005,0.006,10
71357-72166,71758,0.00625,0.0072,12
71407-72218,71808,0.00625,0.0072,12
71457-72268,71858,0.00625,0.0072,12
71507-72318,71908,0.00625,0.0072,12
71557-72368,71958,0.00675,0.0078,13
71609-72418,72008,0.00625,0.0072,12
71659-72468,72064,0.00575,0.0066,11
71709-72518,72114,0.00525,0.006,10
71759-72568,72166,0.007,0.0078,13
71809-72618,72218,0.0065,0.0072,12
71859-72668,72268,0.0065,0.0072,12
71909-72718,72318,0.0065,0.0072,12
71959-72768,72368,0.00925,0.0102,17
72010-72818,72418,0.00825,0.009,15
72065-72869,72468,0.01075,0.012,20
72117-72919,72518,0.01025,0.0114,19
72167-72969,72568,0.01,0.0114,19
72219-73026,72618,0.01,0.0114,19
72269-73076,72668,0.0095,0.0108,18
72319-73126,72718,0.01,0.0114,19
72369-73176,72768,0.01,0.0114,19
72419-73226,72818,0.01,0.0114,19
72469-73276,72869,0.011,0.0126,21
72519-73326,72919,0.011,0.0126,21
72569-73376,72969,0.00975,0.0114,19
72619-73426,73026,0.01025,0.012,20
72669-73476,73076,0.01025,0.012,20
72719-73526,73126,0.01025,0.012,20
72769-73576,73176,0.008,0.0096,16
72819-73626,73226,0.0085,0.0102,17
72870-73676,73276,0.005,0.006,10
72920-73726,73326,0.005,0.006,10
72970-73776,73376,0.005,0.006,10
73027-73826,73426,0.0055,0.0066,11
73077-73876,73476,0.0055,0.0066,11
73127-73926,73526,0.006,0.0072,12
73177-73991,73576,0.006,0.0072,12
73227-74042,73626,0.006,0.0072,12
73277-74092,73676,0.005,0.006,10
73327-74142,73726,0.0055,0.0066,11
73377-74192,73776,0.005,0.006,10
73427-74242,73826,0.005,0.006,10
73477-74292,73876,0.0055,0.0066,11
73527-74342,73926,0.0055,0.0066,11
73577-74392,73991,0.005,0.006,10
73627-74442,74042,0.005,0.006,10
73677-74492,74092,0.005,0.006,10
73727-74542,74142,0.0055,0.0066,11
73777-74592,74192,0.0045,0.0054,9
73827-74642,74242,0.0045,0.0054,9
73877-74692,74292,0.005,0.006,10
73927-74742,74342,0.0045,0.0054,9
73992-74792,74392,0.004,0.0048,8
74043-74842,74442,0.004,0.0048,8
74093-74892,74492,0.004,0.0048,8
74143-74942,74542,0.0035,0.0042,7
74193-74992,74592,0.004,0.0048,8
74243-75042,74642,0.0035,0.0042,7
74293-75092,74692,0.003,0.0036,6
74343-75142,74742,0.0035,0.0042,7
74393-75192,74792,0.004,0.0048,8
74443-75242,74842,0.0035,0.0042,7
74493-75292,74892,0.0035,0.0042,7
74543-75342,74942,0.003,0.0036,6
74593-75392,74992,0.004,0.0048,8
74643-75442,75042,0.004,0.0048,8
74693-75492,75092,0.0035,0.0042,7
74743-75542,75142,0.0035,0.0042,7
74793-75592,75192,0.004,0.0048,8
74843-75642,75242,0.00613,0.0066,11
74893-75693,75292,0.00788,0.0084,14
74943-75743,75342,0.00788,0.0084,14
74993-75793,75392,0.00738,0.0078,13
75043-75843,75442,0.00888,0.0096,16
75093-75893,75492,0.00937,0.0102,17
75143-75943,75542,0.00887,0.0096,16
75193-75993,75592,0.00838,0.009,15
75243-76043,75642,0.00838,0.009,15
75293-76093,75693,0.00838,0.009,15
75343-76143,75743,0.00887,0.0096,16
75393-76193,75793,0.00787,0.0084,14
75443-76243,75843,0.00738,0.0078,13
75493-76293,75893,0.00738,0.0078,13
75543-76343,75943,0.00688,0.0072,12
75593-76393,75993,0.00838,0.009,15
75643-76443,76043,0.00825,0.0096,16
75694-76493,76093,0.0065,0.0078,13
75744-76543,76143,0.007,0.0084,14
75794-76593,76193,0.007,0.0084,14
75844-76643,76243,0.0055,0.0066,11
75894-76695,76293,0.00825,0.0096,16
75944-76745,76343,0.00925,0.0108,18
75994-76795,76393,0.00975,0.0114,19
76044-76845,76443,0.00975,0.0114,19
76094-76895,76493,0.01025,0.012,20
76144-76948,76543,0.01025,0.012,20
76194-76998,76593,0.01025,0.012,20
76244-77049,76643,0.01075,0.0126,21
76294-77099,76695,0.01175,0.0138,23
76344-77149,76745,0.01275,0.015,25
76394-77199,76795,0.01075,0.0126,21
76444-77249,76845,0.00925,0.0108,18
76494-77299,76895,0.00975,0.0114,19
76544-77349,76948,0.00925,0.0108,18
76594-77399,76998,0.00975,0.0114,19
76644-77449,77049,0.00975,0.0114,19
76696-77499,77099,0.0065,0.0078,13
76746-77549,77149,0.0055,0.0066,11
76796-77599,77199,0.00575,0.0066,11
76846-77649,77249,0.00625,0.0072,12
76896-77699,77299,0.00675,0.0078,13
76949-77749,77349,0.00675,0.0078,13
76999-77799,77399,0.00675,0.0078,13
77050-77849,77449,0.00625,0.0072,12
77100-77899,77499,0.00525,0.006,10
77150-77949,77549,0.00425,0.0048,8
77200-77999,77599,0.00475,0.0054,9
77250-78049,77649,0.00425,0.0048,8
77300-78099,77699,0.00425,0.0048,8
77350-78149,77749,0.00575,0.0066,11
77400-78199,77799,0.00525,0.006,10
77450-78249,77849,0.0065,0.0072,12
77500-78299,77899,0.0165,0.0156,26
77550-78349,77949,0.017,0.0162,27
77600-78399,77999,0.01625,0.0156,26
77650-78449,78049,0.01625,0.0156,26
77700-78499,78099,0.01525,0.0144,24
77750-78549,78149,0.01475,0.0138,23
77800-78599,78199,0.01525,0.0144,24
77850-78649,78249,0.01575,0.015,25
77900-78699,78299,0.01675,0.0162,27
77950-78749,78349,0.01675,0.0162,27
78000-78799,78399,0.01625,0.0156,26
78050-78849,78449,0.01625,0.0156,26
78100-78899,78499,0.01575,0.015,25
78150-78949,78549,0.01425,0.0132,22
78200-78999,78599,0.01525,0.0144,24
78250-79049,78649,0.014,0.0132,22
78300-79099,78699,0.004,0.0048,8
78350-79149,78749,0.004,0.0048,8
78400-79199,78799,0.0045,0.0054,9
78450-79249,78849,0.004,0.0048,8
78500-79299,78899,0.0065,0.0078,13
78550-79355,78949,0.0095,0.0114,19
78600-79405,78999,0.0095,0.0114,19
78650-79456,79049,0.0095,0.0114,19
78700-79506,79099,0.0105,0.0126,21
78750-79556,79149,0.0105,0.0126,21
78800-79606,79199,0.011,0.0132,22
78850-79656,79249,0.012,0.0144,24
78900-79706,79299,0.0125,0.015,25
78950-79756,79355,0.0125,0.015,25
79000-79806,79405,0.012,0.0144,24
79050-79856,79456,0.013,0.0156,26
79100-79906,79506,0.013,0.0156,26
79150-79956,79556,0.013,0.0156,26
79200-80006,79606,0.0135,0.0162,27
79250-80056,79656,0.0135,0.0162,27
79300-80106,79706,0.011,0.0132,22
79356-80156,79756,0.008,0.0096,16
79406-80206,79806,0.0075,0.009,15
79457-80256,79856,0.007,0.0084,14
79507-80306,79906,0.005,0.006,10
79557-80356,79956,0.005,0.006,10
79607-80406,80006,0.0045,0.0054,9
79657-80456,80056,0.0035,0.0042,7
79707-80506,80106,0.0035,0.0042,7
79757-80556,80156,0.0035,0.0042,7
79807-80606,80206,0.003,0.0036,6
79857-80656,80256,0.002,0.0024,4
79907-80706,80306,0.003,0.0036,6
79957-80756,80356,0.0025,0.003,5
80007-80806,80406,0.0015,0.0018,3
80057-80856,80456,0.0015,0.0018,3
80107-80906,80506,0.0015,0.0018,3
80157-80956,80556,0.002,0.0024,4
80207-81006,80606,0.002,0.0024,4
80257-81056,80656,0.002,0.0024,4
80307-81106,80706,0.0025,0.003,5
80357-81156,80756,0.0025,0.003,5
80407-81206,80806,0.0025,0.003,5
80457-81256,80856,0.003,0.0036,6
80507-81306,80906,0.0025,0.003,5
80557-81356,80956,0.0025,0.003,5
80607-81406,81006,0.0025,0.003,5
80657-81456,81056,0.0035,0.0042,7
80707-81506,81106,0.0025,0.003,5
80757-81556,81156,0.0025,0.003,5
80807-81606,81206,0.0025,0.003,5
80857-81656,81256,0.0025,0.003,5
80907-81706,81306,0.0035,0.0042,7
80957-81756,81356,0.0035,0.0042,7
81007-81806,81406,0.0035,0.0042,7
81057-81856,81456,0.004,0.0048,8
81107-81906,81506,0.0035,0.0042,7
81157-81956,81556,0.0035,0.0042,7
81207-82006,81606,0.0035,0.0042,7
81257-82056,81656,0.0035,0.0042,7
81307-82106,81706,0.004,0.0048,8
81357-82156,81756,0.0045,0.0054,9
81407-82206,81806,0.0055,0.0066,11
81457-82256,81856,0.005,0.006,10
81507-82306,81906,0.005,0.006,10
81557-82356,81956,0.005,0.006,10
81607-82406,82006,0.0055,0.0066,11
81657-82456,82056,0.0055,0.0066,11
81707-82506,82106,0.0045,0.0054,9
81757-82556,82156,0.004,0.0048,8
81807-82606,82206,0.004,0.0048,8
81857-82656,82256,0.0035,0.0042,7
81907-82706,82306,0.004,0.0048,8
81957-82756,82356,0.004,0.0048,8
82007-82806,82406,0.005,0.006,10
82057-82856,82456,0.0055,0.0066,11
82107-82906,82506,0.0055,0.0066,11
82157-82956,82556,0.005,0.006,10
82207-83006,82606,0.0045,0.0054,9
82257-83056,82656,0.0045,0.0054,9
82307-83106,82706,0.0055,0.0066,11
82357-83156,82756,0.006,0.0072,12
82407-83207,82806,0.006,0.0072,12
82457-83259,82856,0.006,0.0072,12
82507-83309,82906,0.006,0.0072,12
82557-83363,82956,0.0065,0.0078,13
82607-83414,83006,0.0065,0.0078,13
82657-83464,83056,0.007,0.0084,14
82707-83514,83106,0.008,0.0096,16
82757-83564,83156,0.008,0.0096,16
82807-83614,83207,0.0075,0.009,15
82857-83664,83259,0.007,0.0084,14
82907-83714,83309,0.0065,0.0078,13
82957-83764,83363,0.0065,0.0078,13
83007-83814,83414,0.0065,0.0078,13
83057-83867,83464,0.00738,0.0084,14
83107-83917,83514,0.00638,0.0072,12
83157-83967,83564,0.00787,0.009,15
83208-84018,83614,0.00838,0.0096,16
83260-84068,83664,0.00937,0.0108,18
83310-84126,83714,0.01038,0.012,20
83364-84176,83764,0.00987,0.0114,19
83415-84226,83814,0.00987,0.0114,19
83465-84276,83867,0.00937,0.0108,18
83515-84326,83917,0.00838,0.0096,16
83565-84376,83967,0.00887,0.0102,17
83615-84426,84018,0.00887,0.0102,17
83665-84476,84068,0.00838,0.0096,16
83715-84526,84126,0.00887,0.0102,17
83765-84576,84176,0.00887,0.0102,17
83815-84626,84226,0.00838,0.0096,16
83868-84676,84276,0.008,0.0096,16
83918-84726,84326,0.0085,0.0102,17
83968-84776,84376,0.0075,0.009,15
84019-84826,84426,0.007,0.0084,14
84069-84876,84476,0.006,0.0072,12
84127-84926,84526,0.005,0.006,10
84177-84976,84576,0.0055,0.0066,11
84227-85026,84626,0.007,0.0084,14
84277-85076,84676,0.007,0.0084,14
84327-85126,84726,0.0065,0.0078,13
84377-85176,84776,0.0065,0.0078,13
84427-85226,84826,0.006,0.0072,12
84477-85276,84876,0.00725,0.0084,14
84527-85326,84926,0.00725,0.0084,14
84577-85376,84976,0.00725,0.0084,14
84627-85426,85026,0.00775,0.009,15
84677-85476,85076,0.00675,0.0078,13
84727-85526,85126,0.00625,0.0072,12
84777-85576,85176,0.00575,0.0066,11
84827-85629,85226,0.006,0.0066,11
84877-85679,85276,0.006,0.0066,11
84927-85729,85326,0.006,0.0066,11
84977-85779,85376,0.0055,0.006,10
85027-85829,85426,0.0045,0.0048,8
85077-85879,85476,0.0045,0.0048,8
85127-85929,85526,0.0045,0.0048,8
85177-85979,85576,0.004,0.0042,7
85227-86029,85629,0.004,0.0042,7
85277-86079,85679,0.00275,0.003,5
85327-86129,85729,0.00225,0.0024,4
85377-86179,85779,0.00225,0.0024,4
85427-86229,85829,0.00225,0.0024,4
85477-86279,85879,0.00225,0.0024,4
85527-86329,85929,0.00225,0.0024,4
85577-86379,85979,0.00175,0.0018,3
85630-86429,86029,0.001,0.0012,2
85680-86479,86079,0.001,0.0012,2
85730-86529,86129,0.001,0.0012,2
85780-86579,86179,0.001,0.0012,2
85830-86629,86229,0.0005,0.0006,1
85880-86679,86279,0.0005,0.0006,1
85930-86729,86329,0.0005,0.0006,1
85980-86779,86379,0.0005,0.0006,1
86030-86829,86429,0.0005,0.0006,1
86080-86879,86479,0.0005,0.0006,1
86130-86929,86529,0.0005,0.0006,1
86180-86979,86579,0.0005,0.0006,1
86230-87029,86629,0,0,0
86280-87079,86679,0,0,0
86330-87129,86729,0,0,0
86380-87179,86779,0,0,0
86430-87232,86829,0,0,0
86480-87282,86879,0.0005,0.0006,1
86530-87332,86929,0.0005,0.0006,1
86580-87382,86979,0.0005,0.0006,1
86630-87432,87029,0.0005,0.0006,1
86680-87482,87079,0.0005,0.0006,1
86730-87532,87129,0.0005,0.0006,1
86780-87582,87179,0.001,0.0012,2
86830-87632,87232,0.001,0.0012,2
86880-87682,87282,0.001,0.0012,2
86930-87732,87332,0.001,0.0012,2
86980-87782,87382,0.001,0.0012,2
87030-87832,87432,0.001,0.0012,2
87080-87891,87482,0.0015,0.0018,3
87130-87941,87532,0.0015,0.0018,3
87180-87991,87582,0.0015,0.0018,3
87233-88041,87632,0.0015,0.0018,3
87283-88091,87682,0.001,0.0012,2
87333-88141,87732,0.001,0.0012,2
87383-88191,87782,0.0015,0.0018,3
87433-88241,87832,0.0015,0.0018,3
87483-88291,87891,0.0015,0.0018,3
87533-88341,87941,0.0015,0.0018,3
87583-88391,87991,0.001,0.0012,2
87633-88441,88041,0.001,0.0012,2
87683-88491,88091,0.001,0.0012,2
87733-88541,88141,0.001,0.0012,2
87783-88642,88191,0.001,0.0012,2
87833-88692,88241,0.001,0.0012,2
87892-88742,88291,0.0005,0.0006,1
87942-88792,88341,0.0005,0.0006,1
87992-88842,88391,0.0005,0.0006,1
88042-88892,88441,0.0005,0.0006,1
88092-88942,88491,0.0005,0.0006,1
88142-88992,88541,0.0005,0.0006,1
88192-89042,88642,0,0,0
88242-89092,88692,0,0,0
88292-89142,88742,0,0,0
88342-89192,88792,0,0,0
88392-89242,88842,0,0,0
88442-89292,88892,0.0005,0.0006,1
88492-89342,88942,0.0005,0.0006,1
88542-89392,88992,0.0005,0.0006,1
88643-89442,89042,0.0005,0.0006,1
88693-89492,89092,0.0005,0.0006,1
88743-89542,89142,0.0005,0.0006,1
88793-89592,89192,0.0005,0.0006,1
88843-89642,89242,0.0005,0.0006,1
88893-89692,89292,0.001,0.0012,2
88943-89742,89342,0.001,0.0012,2
88993-89792,89392,0.001,0.0012,2
89043-89866,89442,0.001,0.0012,2
89093-89916,89492,0.0015,0.0018,3
89143-89966,89542,0.0015,0.0018,3
89193-90016,89592,0.0015,0.0018,3
89243-90066,89642,0.0015,0.0018,3
89293-90116,89692,0.001,0.0012,2
89343-90166,89742,0.001,0.0012,2
89393-90216,89792,0.0015,0.0018,3
89443-90266,89866,0.0015,0.0018,3
89493-90316,89916,0.0015,0.0018,3
89543-90366,89966,0.0015,0.0018,3
89593-90416,90016,0.0015,0.0018,3
89643-90466,90066,0.0015,0.0018,3
89693-90516,90116,0.001,0.0012,2
89743-90566,90166,0.001,0.0012,2
89793-90616,90216,0.001,0.0012,2
89867-90666,90266,0.001,0.0012,2
89917-90716,90316,0.0005,0.0006,1
89967-90766,90366,0.0005,0.0006,1
90017-90816,90416,0.0005,0.0006,1
90067-90866,90466,0.0005,0.0006,1
90117-90916,90516,0.001,0.0012,2
90167-90969,90566,0.001,0.0012,2
90217-91019,90616,0.0005,0.0006,1
90267-91069,90666,0.0015,0.0018,3
90317-91119,90716,0.0015,0.0018,3
90367-91169,90766,0.0015,0.0018,3
90417-91219,90816,0.0015,0.0018,3
90467-91269,90866,0.0015,0.0018,3
90517-91319,90916,0.0015,0.0018,3
90567-91369,90969,0.0015,0.0018,3
90617-91419,91019,0.0015,0.0018,3
90667-91469,91069,0.0015,0.0018,3
90717-91519,91119,0.0015,0.0018,3
90767-91569,91169,0.0025,0.003,5
90817-91619,91219,0.0025,0.003,5
90867-91669,91269,0.0025,0.003,5
90917-91719,91319,0.002,0.0024,4
90970-91769,91369,0.002,0.0024,4
91020-91819,91419,0.002,0.0024,4
91070-91869,91469,0.0015,0.0018,3
91120-91919,91519,0.002,0.0024,4
91170-91969,91569,0.002,0.0024,4
91220-92019,91619,0.002,0.0024,4
91270-92069,91669,0.002,0.0024,4
91320-92119,91719,0.002,0.0024,4
91370-92169,91769,0.002,0.0024,4
91420-92219,91819,0.0025,0.003,5
91470-92269,91869,0.0025,0.003,5
91520-92337,91919,0.0045,0.0054,9
91570-92387,91969,0.0035,0.0042,7
91620-92437,92019,0.0035,0.0042,7
91670-92487,92069,0.0035,0.0042,7
91720-92537,92119,0.0035,0.0042,7
91770-92587,92169,0.0035,0.0042,7
91820-92637,92219,0.0035,0.0042,7
91870-92687,92269,0.003,0.0036,6
91920-92737,92337,0.0025,0.003,5
91970-92787,92387,0.0025,0.003,5
92020-92837,92437,0.0025,0.003,5
92070-92887,92487,0.0025,0.003,5
92120-92937,92537,0.0025,0.003,5
92170-92987,92587,0.0025,0.003,5
92220-93037,92637,0.002,0.0024,4
92270-93087,92687,0.002,0.0024,4
92338-93137,92737,0,0,0
92388-93187,92787,0,0,0
92438-93237,92837,0,0,0
92488-93287,92887,0,0,0
92538-93337,92937,0,0,0
92588-93387,92987,0,0,0
92638-93437,93037,0.0005,0.0006,1
92688-93487,93087,0.0005,0.0006,1
92738-93537,93137,0.0005,0.0006,1
92788-93587,93187,0.0005,0.0006,1
92838-93637,93237,0.0005,0.0006,1
92888-93687,93287,0.0005,0.0006,1
92938-93737,93337,0.0005,0.0006,1
92988-93787,93387,0.0005,0.0006,1
93038-93837,93437,0.0005,0.0006,1
93088-93887,93487,0.0005,0.0006,1
93138-93937,93537,0.0005,0.0006,1
93188-93987,93587,0.0005,0.0006,1
93238-94037,93637,0.0005,0.0006,1
93288-94087,93687,0.0005,0.0006,1
93338-94137,93737,0.0005,0.0006,1
93388-94187,93787,0.0005,0.0006,1
93438-94237,93837,0,0,0
93488-94287,93887,0,0,0
93538-94337,93937,0,0,0
93588-94387,93987,0,0,0
93638-94437,94037,0,0,0
93688-94487,94087,0,0,0
93738-94537,94137,0,0,0
93788-94587,94187,0,0,0
93838-94637,94237,0,0,0
93888-94687,94287,0,0,0
93938-94737,94337,0,0,0
93988-94787,94387,0.0015,0.0012,2
94038-94837,94437,0.003,0.0024,4
94088-94887,94487,0.003,0.0024,4
94138-94937,94537,0.003,0.0024,4
94188-94987,94587,0.003,0.0024,4
94238-95037,94637,0.0035,0.003,5
94288-95087,94687,0.004,0.0036,6
94338-95137,94737,0.0045,0.0042,7
94388-95187,94787,0.0045,0.0042,7
94438-95237,94837,0.0045,0.0042,7
94488-95287,94887,0.0045,0.0042,7
94538-95337,94937,0.0045,0.0042,7
94588-95387,94987,0.0045,0.0042,7
94638-95437,95037,0.0045,0.0042,7
94688-95487,95087,0.0045,0.0042,7
94738-95537,95137,0.0045,0.0042,7
94788-95587,95187,0.003,0.003,5
94838-95637,95237,0.0015,0.0018,3
94888-95687,95287,0.0015,0.0018,3
94938-95737,95337,0.0015,0.0018,3
94988-95787,95387,0.0015,0.0018,3
95038-95837,95437,0.001,0.0012,2
95088-95887,95487,0.0005,0.0006,1
95138-95937,95537,0,0,0
95188-95987,95587,0,0,0
95238-96037,95637,0,0,0
95288-96087,95687,0,0,0
95338-96137,95737,0,0,0
95388-96187,95787,0,0,0
95438-96237,95837,0,0,0
95488-96287,95887,0,0,0
95538-96337,95937,0,0,0
95588-96387,95987,0,0,0
95638-96437,96037,0,0,0
95688-96487,96087,0,0,0
95738-96537,96137,0,0,0
95788-96587,96187,0,0,0
95838-96637,96237,0,0,0
95888-96687,96287,0,0,0
95938-96738,96337,0,0,0
95988-96788,96387,0,0,0
96038-96838,96437,0,0,0
96088-96888,96487,0,0,0
96138-96938,96537,0,0,0
96188-96988,96587,0,0,0
96238-97038,96637,0,0,0
96288-97088,96687,0,0,0
96338-97138,96738,0,0,0
96388-97188,96788,0,0,0
96438-97238,96838,0,0,0
96488-97288,96888,0,0,0
96538-97338,96938,0,0,0
96588-97388,96988,0,0,0
96638-97438,97038,0,0,0
96688-97488,97088,0,0,0
96739-97538,97138,0,0,0
96789-97588,97188,0,0,0
96839-97638,97238,0,0,0
96889-97688,97288,0,0,0
96939-97738,97338,0,0,0
96989-97788,97388,0,0,0
97039-97838,97438,0,0,0
97089-97888,97488,0,0,0
97139-97938,97538,0,0,0
97189-97988,97588,0,0,0
97239-98038,97638,0,0,0
97289-98088,97688,0,0,0
97339-98138,97738,0,0,0
97389-98188,97788,0,0,0
97439-98238,97838,0,0,0
97489-98288,97888,0,0,0
97539-98338,97938,0,0,0
97589-98388,97988,0,0,0
97639-98438,98038,0,0,0
97689-98488,98088,0.0005,0.0006,1
97739-98538,98138,0.0005,0.0006,1
97789-98588,98188,0.0005,0.0006,1
97839-98638,98238,0.0005,0.0006,1
97889-98688,98288,0.0005,0.0006,1
97939-98738,98338,0.0005,0.0006,1
97989-98788,98388,0.0005,0.0006,1
98039-98838,98438,0.0005,0.0006,1
98089-98888,98488,0.0005,0.0006,1
98139-98938,98538,0.0005,0.0006,1
98189-98988,98588,0.0005,0.0006,1
98239-99038,98638,0.0005,0.0006,1
98289-99088,98688,0.0005,0.0006,1
98339-99138,98738,0.0005,0.0006,1
98389-99188,98788,0.0005,0.0006,1
98439-99238,98838,0.0005,0.0006,1
98489-99288,98888,0,0,0
98539-99338,98938,0,0,0
98589-99388,98988,0,0,0
98639-99438,99038,0,0,0
98689-99488,99088,0,0,0
98739-99538,99138,0,0,0
98789-99588,99188,0,0,0
98839-99638,99238,0,0,0
98889-99695,99288,0,0,0
98939-99745,99338,0,0,0
98989-99795,99388,0.0005,0.0006,1
99039-99845,99438,0.001,0.0012,2
99089-99895,99488,0.001,0.0012,2
99139-99945,99538,0.001,0.0012,2
99189-99995,99588,0.001,0.0012,2
99239-100045,99638,0.001,0.0012,2
99289-100095,99695,0.001,0.0012,2
99339-100145,99745,0.001,0.0012,2
99389-100195,99795,0.001,0.0012,2
99439-100245,99845,0.001,0.0012,2
99489-100295,99895,0.0015,0.0018,3
99539-100345,99945,0.0015,0.0018,3
99589-100395,99995,0.0015,0.0018,3
99639-100445,100045,0.0015,0.0018,3
99696-100495,100095,0.0015,0.0018,3
99746-100545,100145,0.0015,0.0018,3
99796-100595,100195,0.001,0.0012,2
99846-100645,100245,0.0005,0.0006,1
99896-100695,100295,0.0005,0.0006,1
99946-100745,100345,0.0005,0.0006,1
99996-100795,100395,0.0005,0.0006,1
100046-100845,100445,0.0005,0.0006,1
100096-100895,100495,0.0005,0.0006,1
100146-100945,100545,0.0005,0.0006,1
100196-100995,100595,0.0005,0.0006,1
100246-101045,100645,0.0005,0.0006,1
100296-101095,100695,0,0,0
100346-101145,100745,0,0,0
100396-101195,100795,0,0,0
100446-101245,100845,0,0,0
100496-101295,100895,0,0,0
100546-101345,100945,0,0,0
100596-101395,100995,0,0,0
100646-101445,101045,0,0,0
100696-101495,101095,0,0,0
100746-101545,101145,0,0,0
100796-101595,101195,0,0,0
100846-101645,101245,0,0,0
100896-101695,101295,0,0,0
100946-101745,101345,0,0,0
100996-101795,101395,0,0,0
101046-101845,101445,0,0,0
101096-101895,101495,0,0,0
101146-101945,101545,0,0,0
101196-101995,101595,0,0,0
101246-102045,101645,0,0,0
101296-102095,101695,0,0,0
101346-102145,101745,0,0,0
101396-102195,101795,0,0,0
101446-102245,101845,0,0,0
101496-102295,101895,0,0,0
101546-102345,101945,0,0,0
101596-102395,101995,0,0,0
101646-102445,102045,0,0,0
101696-102495,102095,0,0,0
101746-102545,102145,0,0,0
101796-102595,102195,0,0,0
101846-102645,102245,0,0,0
101896-102695,102295,0,0,0
101946-102745,102345,0,0,0
101996-102795,102395,0,0,0
102046-102845,102445,0,0,0
102096-102895,102495,0,0,0
102146-102945,102545,0.0005,0.0006,1
102196-102995,102595,0.001,0.0012,2
102246-103045,102645,0.001,0.0012,2
102296-103095,102695,0.0015,0.0018,3
102346-103145,102745,0.0015,0.0018,3
102396-103195,102795,0.0015,0.0018,3
102446-103245,102845,0.0015,0.0018,3
102496-103295,102895,0.0015,0.0018,3
102546-103345,102945,0.0015,0.0018,3
102596-103395,102995,0.0015,0.0018,3
102646-103445,103045,0.0015,0.0018,3
102696-103496,103095,0.0015,0.0018,3
102746-103546,103145,0.0015,0.0018,3
102796-103596,103195,0.0015,0.0018,3
102846-103646,103245,0.0015,0.0018,3
102896-103696,103295,0.0015,0.0018,3
102946-103746,103345,0.001,0.0012,2
102996-103796,103395,0.0005,0.0006,1
103046-103846,103445,0.001,0.0012,2
103096-103896,103496,0.0005,0.0006,1
103146-103946,103546,0.0005,0.0006,1
103196-103996,103596,0.0005,0.0006,1
103246-104046,103646,0.0005,0.0006,1
103296-104096,103696,0.0005,0.0006,1
103346-104146,103746,0.0005,0.0006,1
103396-104196,103796,0.0005,0.0006,1
103446-104246,103846,0.0005,0.0006,1
103497-104296,103896,0.0005,0.0006,1
103547-104346,103946,0.0005,0.0006,1
103597-104396,103996,0.0005,0.0006,1
103647-104446,104046,0.0005,0.0006,1
103697-104496,104096,0.0005,0.0006,1
103747-104546,104146,0.0005,0.0006,1
103797-104596,104196,0.0005,0.0006,1
103847-104646,104246,0,0,0
103897-104699,104296,0,0,0
103947-104749,104346,0,0,0
103997-104799,104396,0,0,0
104047-104849,104446,0,0,0
104097-104899,104496,0,0,0
104147-104949,104546,0,0,0
104197-104999,104596,0,0,0
104247-105049,104646,0.0005,0.0006,1
104297-105099,104699,0.0005,0.0006,1
104347-105149,104749,0.0005,0.0006,1
104397-105199,104799,0.0005,0.0006,1
104447-105249,104849,0.0005,0.0006,1
104497-105299,104899,0.0005,0.0006,1
104547-105349,104949,0.0005,0.0006,1
104597-105399,104999,0.0005,0.0006,1
104647-105449,105049,0.0005,0.0006,1
104700-105499,105099,0.0005,0.0006,1
104750-105549,105149,0.0005,0.0006,1
104800-105599,105199,0.0005,0.0006,1
104850-105649,105249,0.0005,0.0006,1
